time,.header,.latitude,.longitude,.altitude,.utm_easting,.utm_northing,.zone,.letter
2022/02/08/14:04:17.826947,$GPGGA,42.340955,-71.09735333333333,6.8,327228.8671037221,4689763.573352222,19,T
2022/02/08/14:04:18.826131,$GPGGA,42.340965000000004,-71.09734166666667,6.9,327229.8555852589,4689764.660070471,19,T
2022/02/08/14:04:19.826366,$GPGGA,42.34097333333334,-71.09733166666666,6.9,327230.7022027628,4689765.565104671,19,T
2022/02/08/14:04:20.830809,$GPGGA,42.340983333333334,-71.09732166666666,7.0,327231.5533850447,4689766.655209797,19,T
2022/02/08/14:04:21.831010,$GPGGA,42.34099166666667,-71.09731000000001,7.1,327232.53730078053,4689767.556857575,19,T
2022/02/08/14:04:22.831758,$GPGGA,42.341,-71.09729999999999,7.1,327233.38391760516,4689768.461892082,19,T
2022/02/08/14:04:23.846765,$GPGGA,42.341010000000004,-71.09729,7.1,327234.23509913485,4689769.551997517,19,T
2022/02/08/14:04:24.831530,$GPGGA,42.34101833333334,-71.09727833333334,7.1,327235.219014131,4689770.453645652,19,T
2022/02/08/14:04:25.825784,$GPGGA,42.341028333333334,-71.09726666666667,7.0,327236.2074937485,4689771.540364749,19,T
2022/02/08/14:04:26.826519,$GPGGA,42.34103666666667,-71.09725666666667,7.0,327237.0541096338,4689772.445399676,19,T
2022/02/08/14:04:27.826113,$GPGGA,42.341045,-71.097245,7.0,327238.0380238698,4689773.34704819,19,T
2022/02/08/14:04:28.830652,$GPGGA,42.341053333333335,-71.097235,7.0,327238.8846393053,4689774.252083328,19,T
2022/02/08/14:04:29.826742,$GPGGA,42.34106333333334,-71.097225,7.0,327239.735819313,4689775.342189394,19,T
2022/02/08/14:04:30.826778,$GPGGA,42.34107166666666,-71.09721333333333,7.1,327240.71973280725,4689776.243838263,19,T
2022/02/08/14:04:31.826342,$GPGGA,42.34108,-71.09720333333333,7.1,327241.5663475614,4689777.14887371,19,T
2022/02/08/14:04:32.852246,$GPGGA,42.34109,-71.09719333333334,7.1,327242.41752681916,4689778.238980083,19,T
