time,.header,.latitude,.longitude,.altitude,.utm_easting,.utm_northing,.zone,.letter
2022/02/08/15:02:13.498898,$GPGGA,42.340635000000006,-71.09753833333333,6.7,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:02:14.498639,$GPGGA,42.340635000000006,-71.09753833333333,6.7,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:02:15.498746,$GPGGA,42.340635000000006,-71.09753833333333,6.7,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:02:16.499076,$GPGGA,42.340635000000006,-71.09753833333333,6.7,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:02:17.499147,$GPGGA,42.340635000000006,-71.09753666666667,6.7,327212.88767470926,4689728.412305001,19,T
2022/02/08/15:02:18.499910,$GPGGA,42.340635000000006,-71.09753666666667,6.7,327212.88767470926,4689728.412305001,19,T
2022/02/08/15:02:19.492855,$GPGGA,42.340635000000006,-71.09753666666667,6.7,327212.88767470926,4689728.412305001,19,T
2022/02/08/15:02:20.492985,$GPGGA,42.340635000000006,-71.09753666666667,6.7,327212.88767470926,4689728.412305001,19,T
2022/02/08/15:02:21.494061,$GPGGA,42.340635000000006,-71.09753666666667,6.7,327212.88767470926,4689728.412305001,19,T
2022/02/08/15:02:22.498215,$GPGGA,42.340635000000006,-71.09753666666667,6.7,327212.88767470926,4689728.412305001,19,T
2022/02/08/15:02:23.498009,$GPGGA,42.340635000000006,-71.09753666666667,6.7,327212.88767470926,4689728.412305001,19,T
2022/02/08/15:02:24.499794,$GPGGA,42.340635000000006,-71.09753666666667,6.7,327212.88767470926,4689728.412305001,19,T
2022/02/08/15:02:25.499947,$GPGGA,42.340635000000006,-71.09753666666667,6.7,327212.88767470926,4689728.412305001,19,T
2022/02/08/15:02:26.492960,$GPGGA,42.340635000000006,-71.09753666666667,6.7,327212.88767470926,4689728.412305001,19,T
2022/02/08/15:02:27.504771,$GPGGA,42.340635000000006,-71.09753666666667,6.7,327212.88767470926,4689728.412305001,19,T
2022/02/08/15:02:28.499703,$GPGGA,42.340635000000006,-71.09753666666667,6.7,327212.88767470926,4689728.412305001,19,T
2022/02/08/15:02:29.499414,$GPGGA,42.340635000000006,-71.09753666666667,6.7,327212.88767470926,4689728.412305001,19,T
2022/02/08/15:02:30.493892,$GPGGA,42.340635000000006,-71.09753666666667,6.7,327212.88767470926,4689728.412305001,19,T
2022/02/08/15:02:31.492074,$GPGGA,42.340635000000006,-71.09753666666667,6.7,327212.88767470926,4689728.412305001,19,T
2022/02/08/15:02:32.497844,$GPGGA,42.340635000000006,-71.09753666666667,6.7,327212.88767470926,4689728.412305001,19,T
2022/02/08/15:02:33.492837,$GPGGA,42.34063666666666,-71.09753666666667,6.7,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:34.492455,$GPGGA,42.34063666666666,-71.09753666666667,6.7,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:35.498412,$GPGGA,42.34063666666666,-71.09753666666667,6.7,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:36.495417,$GPGGA,42.34063666666666,-71.09753666666667,6.7,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:37.494296,$GPGGA,42.34063666666666,-71.09753666666667,6.7,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:38.494042,$GPGGA,42.34063666666666,-71.09753666666667,6.7,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:39.492481,$GPGGA,42.34063666666666,-71.09753666666667,6.7,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:40.500230,$GPGGA,42.34063666666666,-71.09753666666667,6.7,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:41.493186,$GPGGA,42.34063666666666,-71.09753666666667,6.7,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:42.495325,$GPGGA,42.34063666666666,-71.09753666666667,6.7,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:43.499184,$GPGGA,42.34063666666666,-71.09753666666667,6.7,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:44.493745,$GPGGA,42.34063666666666,-71.09753666666667,6.7,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:45.499391,$GPGGA,42.34063666666666,-71.09753666666667,6.7,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:46.498893,$GPGGA,42.34063666666666,-71.09753666666667,6.7,327212.8922401377,4689728.597375823,19,T
